Name,Number,Dept,Pay,Manager
"Brown, Mia",1103024456,Admin Offices,28.5,Brandon R. LeBlanc
"LaRotonda, William  ",1106026572,Admin Offices,23,Brandon R. LeBlanc
"Steans, Tyrone  ",1302053333,Admin Offices,29,Brandon R. LeBlanc
"Howard, Estelle",1211050782,Admin Offices,21.5,Brandon R. LeBlanc
"Singh, Nan ",1307059817,Admin Offices,16.56,Brandon R. LeBlanc
"Smith, Leigh Ann",711007713,Admin Offices,20.5,Brandon R. LeBlanc
"LeBlanc, Brandon  R",1102024115,Admin Offices,55,Janet King
"Quinn, Sean",1206043417,Admin Offices,55,Janet King
"Boutwell, Bonalyn",1307060188,Admin Offices,34.95,Brandon R. LeBlanc
"Foster-Baker, Amy",1201031308,Admin Offices,34.95,Board of Directors
"King, Janet",1001495124,Executive Office,80,Board of Directors
"Zamora, Jennifer",1112030816,IT/IS,65,Janet King
"Becker, Renee",1102024056,IT/IS,43,Simon Roup
"Goble, Taisha",905013738,IT/IS,48.5,Simon Roup
"Hernandez, Daniff",1410071156,IT/IS,40.1,Simon Roup
"Horton, Jayne",1105025718,IT/IS,34,Simon Roup
"Johnson, Noelle ",1003018246,IT/IS,40,Simon Roup
"Murray, Thomas",1406068403,IT/IS,35.5,Simon Roup
"Pearson, Randall",1102023965,IT/IS,41,Simon Roup
"Petrowsky, Thelma",1108027853,IT/IS,42.75,Simon Roup
"Roby, Lori ",1407068885,IT/IS,39.55,Simon Roup
"Rogers, Ivan",1203032255,IT/IS,42.2,Simon Roup
"Salter, Jason",1111030148,IT/IS,45,Simon Roup
"Simard, Kramer",808010278,IT/IS,30.2,Simon Roup
"Zhou, Julia",1110029732,IT/IS,31.4,Simon Roup
"Foss, Jason",1192991000,IT/IS,65,Jennifer Zamora
"Roup,Simon",1106026933,IT/IS,62,Jennifer Zamora
"Ruiz, Ricardo",1001175250,IT/IS,21,Jennifer Zamora
"Monroe, Peter",1011022863,IT/IS,63,Jennifer Zamora
"Dougall, Eric",1101023754,IT/IS,64,Jennifer Zamora
"Clayton, Rick",1301052902,IT/IS,28.99,Eric Dougall
"Galia, Lisa",1501072093,IT/IS,31.4,Eric Dougall
"Lindsay, Leonara ",602000312,IT/IS,26,Eric Dougall
"Soto, Julia ",1203032263,IT/IS,27.49,Eric Dougall
"Bacong, Alejandro ",1212052023,IT/IS,45,Peter Monroe
"Cisco, Anthony",1102024173,IT/IS,42,Peter Monroe
"Dolan, Linda",1101023540,IT/IS,37,Peter Monroe
"Gonzalez, Maria",1988299991,IT/IS,39,Peter Monroe
"Merlos, Carlos",1012023013,IT/IS,43,Peter Monroe
"Morway, Tanya",1001956578,IT/IS,27,Peter Monroe
"Shepard, Anita ",906014183,IT/IS,47,Peter Monroe
"Tredinnick, Neville ",1104025466,IT/IS,28,Peter Monroe
"Turpin, Jumil",1411071506,IT/IS,49.1,Peter Monroe
"Ait Sidi, Karthikeyan   ",1307060199,IT/IS,62,Simon Roup
"Carr, Claudia  N",1010022337,IT/IS,61.3,Simon Roup
"Favis, Donald  ",1412071562,IT/IS,58.2,Simon Roup
